doc1,doc2,local_similarity_score,keywords,summary_doc1,summary_doc2
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Alert on Inadequate Suitability Assessment Practices.txt,0.6602,risk,"Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","All investment advisers must implement robust suitability assessment procedures that include comprehensive evaluation of client financial situation, investment experience, risk tolerance, and investment goals. SEBI has observed that some investment advisers are not conducting adequate suitability assessments for their clients, resulting in inappropriate investment recommendations that do not align with client risk profiles or investment objectives. Regular updates of client suitability profiles must be conducted, particularly before making significant changes to investment strategy or recommending new investment products. Advisers may be required to undergo additional training or implement enhanced procedures to ensure compliance with suitability requirements. Enhanced scrutiny will be applied to advisers with inadequate suitability practices. Changes in client circumstances must be reflected in updated suitability assessments. Generic or superficial assessments are not acceptable."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Alert on Insufficient Business Continuity Testing.txt,0.7062,,"Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Recent supervisory assessments have identified deficiencies in business continuity testing by several banks, particularly in relation to cyber incident scenarios. Banks must conduct regular and comprehensive testing of their business continuity plans including cyber incident scenarios. External validation of business continuity capabilities through independent testing or certification may be required for banks with significant deficiencies. Testing should include both technical recovery procedures and operational continuity measures to ensure comprehensive preparedness. Regular reporting on business continuity testing and preparedness must be provided to the board of directors and senior management. Any deficiencies identified during testing must be addressed promptly and the effectiveness of corrective actions must be validated through follow-up testing. Inadequate testing may result in failure to maintain critical services during actual cyber incidents. Testing results must be documented and analyzed to identify areas for improvement."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Alert on Non-compliance with Asset Allocation Norms.txt,0.7023,,"Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Asset management companies must implement robust monitoring systems to track asset allocation compliance in real-time and ensure that any deviations are identified and corrected promptly. Several mutual fund schemes have been found to be non-compliant with prescribed asset allocation norms, particularly during periods of market volatility. Non-compliance with asset allocation requirements can result in schemes deviating from their stated investment objectives and risk profiles. This may include penalties, restrictions on new scheme launches, and directions to rectify non-compliance within specified timelines. SEBI will take enforcement action against asset management companies that fail to maintain compliance with asset allocation requirements. Portfolio rebalancing procedures must be established to maintain compliance with allocation norms."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Alert on Non-compliance with Reporting Requirements.txt,0.6902,,"Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Some investment advisers have failed to submit required periodic reports and compliance certificates within prescribed timelines, which affects regulatory oversight and may indicate deficiencies in compliance systems. All investment advisers must ensure timely compliance with reporting requirements and must implement systems to track reporting deadlines and ensure timely submission. Compliance calendars and reminder systems should be implemented to ensure that all regulatory requirements are met on time. Enhanced compliance monitoring may be required for advisers with repeated reporting violations. Such advisers may be subject to additional supervisory measures until consistent compliance is demonstrated. Responsibility for regulatory compliance should be clearly assigned and monitored by senior management. Late submissions may result in penalties and increased regulatory scrutiny."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Alert on Weak Contingency Funding Plans.txt,0.7112,stress,"Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Staff training on contingency procedures should be conducted regularly to ensure that key personnel understand their roles during liquidity stress and can execute required actions effectively under pressure. Regular review and updating of contingency funding plans is required to ensure they remain current with the bank's business model, market conditions, and regulatory requirements. Contingency funding plans must be comprehensive and must include detailed procedures for different levels of stress, identification of potential funding sources, and clear escalation procedures. Several banks have been found to have inadequate contingency funding plans that lack specificity about funding sources, activation triggers, and management actions during liquidity stress. Changes in business activities or market access should be reflected in updated plans. Effective contingency planning is essential for managing liquidity crises. The plans must be tested regularly through simulation exercises."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Investment Management and Portfolio Construction Requirements.txt,0.7017,"management, risk","Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Asset management companies shall manage mutual fund schemes in accordance with stated investment objectives and asset allocation norms specified in the scheme information document. Portfolio turnover must be managed to ensure that it is consistent with the scheme's investment objective and does not result in excessive transaction costs that erode investor returns. Liquidity management procedures must be established to ensure that schemes can meet redemption requirements without compromising the interests of remaining unit holders. Performance evaluation and attribution analysis must be conducted regularly to assess the effectiveness of investment strategies and identify sources of outperformance or underperformance. Proxy voting policies must be established and implemented for equity holdings to ensure that voting rights are exercised in the best interests of unit holders. Diversification requirements must be strictly adhered to ensure that scheme portfolios are not overly concentrated in any single security, issuer, or sector. The investment process must be documented and should include rationale for investment decisions, risk assessment, and monitoring procedures for portfolio holdings. Due diligence procedures must be established for all investments including credit assessment for debt securities, fundamental analysis for equity investments, and operational due diligence for alternative investments. Risk monitoring and management systems must provide real-time monitoring of portfolio risks and compliance with investment restrictions. Any deviation from prescribed asset allocation limits must be rectified within specified timeframes and reported to trustees and SEBI. This includes maintaining adequate liquid assets and establishing redemption management tools as permitted by regulations."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Liquidity Risk Management and Stress Testing Framework.txt,0.7884,"management, risk, stress","Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Banks shall establish comprehensive liquidity risk management framework that includes clear governance structure, risk identification and measurement methodologies, monitoring and reporting systems, and appropriate risk limits and controls. Risk identification process must consider all sources of liquidity risk including funding concentration, asset concentration, off-balance sheet exposures, contingent liabilities, and market-related liquidity risks. Liquidity management tools and techniques must be implemented including active cash flow forecasting, collateral management, funding diversification, and market access management. Regular reporting of liquidity position and risk indicators must be provided to senior management, board committees, and regulatory authorities as required. Liquidity risk measurement must include multiple metrics and indicators such as liquidity ratios, funding concentration measures, asset quality indicators, and market-based measures. These plans must include triggers for activation, escalation procedures, potential funding sources, and communication strategies during crisis situations. Clear roles and responsibilities must be defined for different levels of management and appropriate committees must be established for liquidity risk oversight. Scenarios should consider institution-specific stress, market-wide stress, and combined scenarios over different time horizons from overnight to one year or more. Governance structure for liquidity risk management must include board oversight, senior management responsibility, and independent risk management function. Stress testing framework must include multiple scenarios ranging from mild stress to severe crisis conditions. These indicators should cover various aspects of liquidity risk and should trigger appropriate management actions when breached. Early warning indicators must be established to provide advance notice of potential liquidity stress."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Maintenance of High-Quality Liquid Assets Portfolio.txt,0.82,"liquid, stress","Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","Level 2B assets including lower-grade corporate debt, equities, and residential mortgage-backed securities may comprise up to 15% of liquid assets portfolio with higher haircuts applied. Level 2A assets such as high-grade corporate debt securities and covered bonds may comprise up to 40% of the liquid assets portfolio after applying prescribed haircuts. Banks shall maintain a diversified portfolio of high-quality liquid assets that can be readily converted into cash to meet liquidity needs during stress periods. Operational requirements for liquid assets include ensuring that assets are unencumbered, under the control of the liquidity management function, and can be monetized through established markets or facilities. Asset management procedures must include clear policies on asset selection, portfolio composition limits, monitoring mechanisms, and reporting requirements. Regular assessment of asset quality and market liquidity conditions must be conducted to ensure continued eligibility of assets in the liquid asset portfolio. Level 1 assets including cash, central bank reserves, and sovereign securities must form the core of the liquid assets portfolio. Scenario analysis should consider various stress conditions including market-wide stress, institution-specific stress, and combined scenarios. Geographic and currency diversification of liquid assets should be considered to ensure availability during local market stress or currency-specific pressures. These assets have the highest liquidity and credit quality and can be used without restriction in LCR calculations subject to operational requirements. Stress testing of liquid asset portfolio must evaluate the potential impact of market stress on asset values and liquidity."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Master Direction on Liquidity Coverage Ratio (LCR) for Banks.txt,0.7832,"liquid, stress","Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","The Reserve Bank of India, in exercise of powers conferred under section 35A of the Banking Regulation Act, 1949, and in line with Basel III framework, hereby issues directions on Liquidity Coverage Ratio to strengthen the liquidity risk management framework of banks and ensure adequate liquidity buffers. Banks shall maintain Liquidity Coverage Ratio of at least 100% at all times, calculated as the ratio of high-quality liquid assets to total net cash outflows over the next 30 calendar days under stress conditions. Stress scenario assumptions for calculating net cash outflows shall include withdrawal rates for different types of deposits, drawdown rates for committed facilities, and increased collateral requirements for secured funding. High-quality liquid assets must consist of cash, central bank reserves, and high-grade marketable securities that can be easily converted into cash with little or no loss in value during stress periods. Banks must establish comprehensive liquidity risk management framework including governance structure, risk identification and measurement, monitoring and reporting systems, and contingency funding plans. The objective is to ensure that banks maintain adequate high-quality liquid assets to survive a significant stress scenario lasting for 30 calendar days. Non-compliance with LCR requirements will attract supervisory action including restrictions on business activities, increased monitoring, and penalties. Banks are required to immediately inform RBI if their LCR falls below the minimum requirement and submit action plans for restoration of compliance. Banks must also maintain detailed supporting documentation for LCR calculations and must be able to demonstrate compliance during supervisory examinations."
Alert on Concentration Risk in Liquid Asset Portfolio.txt,Risk Assessment and Customer Categorization.txt,0.7079,risk,"Enhanced monitoring of concentration levels should be implemented with regular reporting to senior management and appropriate action when concentration limits are breached or approached. Banks must implement appropriate diversification limits for their liquid asset portfolios to avoid excessive concentration risk. Some banks have been found to have excessive concentration in their liquid asset portfolios, either by issuer, instrument type, or market segment. The results should inform portfolio management decisions and may require rebalancing to reduce concentration risk. Such concentration can increase liquidity risk if the concentrated exposures face stress simultaneously. Regular stress testing should assess the impact of concentrated exposures under stress scenarios. Limits should consider issuer concentration, sector concentration, and instrument type concentration.","High-risk customers shall include but not be limited to Politically Exposed Persons (PEPs), customers from high-risk jurisdictions, dealers in high-value goods, money service businesses, and customers with complex beneficial ownership structures. Customer risk categorization shall be based on multiple factors including customer type, geographic location, products and services used, delivery channels, and transaction patterns. Banks shall establish a risk-based approach to customer due diligence that involves assessing the money laundering and terrorist financing risks posed by each customer relationship. Banks should regularly validate the effectiveness of their automated risk assessment tools and make necessary adjustments based on emerging risks and regulatory guidance. Management information systems must provide adequate reporting on customer risk profiles and enable effective monitoring of high-risk relationships. Banks must understand the nature of the correspondent bank's business and assess the adequacy of its anti-money laundering controls. Staff involved in customer risk assessment must understand the bank's risk appetite and be able to apply risk assessment criteria consistently. Cross-border correspondent banking relationships require special attention and enhanced risk assessment procedures. Banks must develop clear criteria for classifying customers into low, medium, and high-risk categories. Regular reports on risk assessment outcomes should be provided to senior management and the board of directors. Automated systems may be used to assist in risk assessment, but human oversight and judgment must be maintained. Banks shall maintain records of risk assessments and the rationale for customer categorization decisions. Regular training on risk assessment methodologies must be provided to relevant bank personnel."
Alert on Conflicts of Interest in Investment Advice.txt,Alert on Deficient Record Keeping Practices.txt,0.7341,,"Common issues include undisclosed relationships with product manufacturers and failure to disclose potential benefits from recommended investments. New business relationships or activities that may create conflicts must be evaluated and appropriate disclosure and management measures must be implemented. Where conflicts cannot be avoided, they must be fully disclosed to clients and appropriate measures must be taken to mitigate the impact on advice objectivity. Investment advisers must implement policies and procedures to identify potential conflicts and must not allow such conflicts to influence investment recommendations. Several investment advisers have been found to have undisclosed conflicts of interest that may compromise the objectivity of advice provided to clients. Clients must be informed of how conflicts are managed and their right to seek independent advice. Regular review of potential conflicts of interest should be conducted as part of compliance monitoring. All conflicts of interest must be identified, disclosed to clients, and managed appropriately.","Several investment advisers have been found to have deficient record keeping practices including incomplete client documentation, inadequate maintenance of advice records, and failure to preserve records for required periods. All investment advisers must immediately review their record keeping procedures and ensure compliance with regulatory requirements. Manual record keeping systems are prone to errors and may not provide adequate protection against loss or damage. Technology solutions for record keeping should be implemented to ensure systematic maintenance and easy retrieval of records. Staff training on record keeping requirements and procedures should be provided to ensure consistent compliance across the organization. Regular audits of record keeping practices should be conducted to identify deficiencies and implement improvements. Proper documentation of advisory activities is essential for regulatory compliance and client protection."
